,馬名,年月日,競馬場,R,レース名,距離,天候馬場,馬番,人気,着順,タイム,差/事故,上3F,コーナー通過順,体重,騎手,負担重量,調教師,獲得賞金（円）
0,ジャイアンヴォーグ,19/10/25,川崎☆,11,ヨコスカネイビーバーガー記念 Ｂ３(三),1500,曇/不良,7,9,10/13,1:38.8,1.8,41.0,13-12-12,515,山中悠,56.0,玉井昇,0
1,ジャイアンヴォーグ,19/9/25,船橋☆,10,彼岸花特別 Ｂ３(二),1500,晴/稍重,2,10,9/11,1:38.0,1.8,39.7,11-11-10,515,山中悠,56.0,玉井昇,0
2,ジャイアンヴォーグ,19/9/12,浦和,12,秋桜（コスモス）特別 Ｂ３(三),1600,曇/稍重,9,7,8/11,1:44.7,3.0,40.0,10-9-9,520,楢崎功,56.0,玉井昇,0
3,ジャイアンヴォーグ,19/9/2,船橋☆,12,秋刀魚特別 Ｂ３Ｃ１,1800,晴/稍重,4,12,4/12,1:57.0,2.2,41.4,8-7-7,510,山中悠,57.0,玉井昇,"360,000"
4,ジャイアンヴォーグ,19/8/16,大井☆,10,１２月２５日も浦和×大井リレー賞 Ｂ３(二),1600,曇/不良,2,13,11/13,1:44.5,1.5,40.6,10-11-11,508,山中悠,56.0,玉井昇,0
5,ジャイアンヴォーグ,19/8/7,船橋☆,11,濃溝の滝賞 Ｂ３(三),1500,曇/良,10,11,6/11,1:38.0,1.9,41.3,10-9-9,512,山中悠,56.0,玉井昇,0
6,ジャイアンヴォーグ,19/7/15,船橋☆,12,スパイラルカーブ賞 Ｂ３(三),1600,小雨/不良,13,14,12/14,1:45.9,4.0,41.5,13-13-13,507,山中悠,56.0,玉井昇,0
7,ジャイアンヴォーグ,19/6/28,大井☆,9, Ｂ３(五),1600,曇/稍重,9,14,7/15,1:45.4,2.1,42.3,13-7-9,509,仲野光,56.0,玉井昇,0
8,ジャイアンヴォーグ,19/6/17,船橋☆,11,船橋競馬場クリーン大作戦記念 Ｂ３(三),1600,曇/稍重,7,11,10/12,1:45.8,3.1,39.7,12-11-12,508,仲野光,56.0,玉井昇,0
9,ジャイアンヴォーグ,19/6/5,大井☆,10,イヴニングスター賞 Ｂ３(二),1600,晴/良,10,13,11/14,1:46.4,4.3,42.6,11-13-14,508,仲野光,56.0,玉井昇,0
10,ジャイアンヴォーグ,19/5/8,船橋☆,12,２０時５０分にビッグチャンス特別 Ｂ３(二),1600,晴/良,9,11,8/13,1:46.6,1.7,41.2,9-8-9,510,山中悠,56.0,玉井昇,0
11,ジャイアンヴォーグ,19/4/16,船橋☆,12,アンデルセン特別 Ｂ３(二),1700,晴/稍重,4,14,11/14,1:53.6,3.3,43.4,12-12-13,515,山中悠,56.0,玉井昇,0
12,ジャイアンヴォーグ,18/6/1,浦和,11,紫陽花（あじさい）特別 Ｂ２(二),1600,晴/良,4,6,7/11,1:44.2,3.9,39.4,10-10-8,508,澤田龍,56.0,玉井昇,0
13,ジャイアンヴォーグ,18/5/18,川崎☆,11,小田原市特別 Ｂ２(二),1600,晴/良,10,9,11/14,1:45.0,2.1,39.8,10-9-8,510,楢崎功,56.0,玉井昇,0
14,ジャイアンヴォーグ,18/4/24,浦和,12,新緑（しんりょく）特別 Ｂ３(二),1600,曇/良,11,5,4/11,1:43.4,0.8,37.0,10-9-7,508,楢崎功,56.0,玉井昇,"330,000"
15,ジャイアンヴォーグ,18/4/3,川崎☆,10,春眠（しゅんみん）特別 Ｂ３Ｃ１,2000,晴/良,1,5,3/12,2:14.2,0.7,39.4,8-9-6,504,楢崎功,57.0,玉井昇,"600,000"
16,ジャイアンヴォーグ,18/3/2,川崎,9,クラシックジュニアカップ Ｃ１,1600,晴/重,1,6,1/13,1:46.8,0.3,41.3,8-6-6,505,楢崎功,56.0,玉井昇,"2,700,000"
17,ジャイアンヴォーグ,18/2/9,船橋,12,寒明け賞 Ｃ１Ｃ２,1800,晴/良,13,5,12/14,1:59.8,2.2,39.6,12-14-14,499,澤田龍,57.0,玉井昇,0
18,ジャイアンヴォーグ,18/2/2,川崎,9,松風（まつかぜ）特別 Ｃ１,2000,曇/不良,6,2,4/11,2:16.1,1.8,40.3,6-5-5,503,澤田龍,56.0,玉井昇,"300,000"
19,ジャイアンヴォーグ,18/1/19,船橋,9,ｆ−ｋｅｉｂａ賞 Ｃ１Ｃ２,1800,曇/重,7,1,6/13,1:59.9,2.4,42.6,6-6-7,508,澤田龍,57.0,玉井昇,0
20,ジャイアンヴォーグ,18/1/4,川崎,9,末広（すえひろ）特別 Ｃ１,2000,晴/良,10,2,2/12,2:14.5,0.2,40.3,7-6-4,503,澤田龍,56.0,玉井昇,"700,000"
21,ジャイアンヴォーグ,17/9/17,中山,6,３歳,1800,雨/不良,2,3,9/15,1:55.9,2.0,40.0,8-7-9,508,武士友,56.0,鈴木伸,0
22,ジャイアンヴォーグ,17/8/20,札幌,2,３歳,2400,晴/良,4,4,2/12,2:36.5,0.0,37.6,2-2-1,516,藤岡佑,56.0,鈴木伸,"2,000,000"
23,ジャイアンヴォーグ,17/7/29,札幌,3,３歳,2400,晴/良,6,3,7/12,2:37.6,2.1,40.4,1-3-4,502,藤岡佑,56.0,鈴木伸,0
24,ジャイアンヴォーグ,17/6/25,東京,2,３歳,2100,曇/稍重,10,2,2/15,2:15.6,0.1,38.5,5-5-4,510,武士友,56.0,鈴木伸,"2,000,000"
25,ジャイアンヴォーグ,17/6/11,東京,3,３歳,2100,晴/良,12,4,3/16,2:15.3,1.3,38.2,7-3-5,510,武士友,56.0,鈴木伸,"1,300,000"
26,ジャイアンヴォーグ,17/5/21,東京,3,３歳,2100,晴/良,8,12,4/16,2:15.2,0.6,38.1,6-6-7,514,武士友,56.0,鈴木伸,"750,000"
27,ジャイアンヴォーグ,17/5/7,新潟,3,３歳,1800,晴/重,1,9,9/11,1:58.8,1.9,40.8,8-9-9,508,横山武,53.0,鈴木伸,0
28,ジャイアンヴォーグ,17/4/1,中山,6,３歳,1800,曇/不良,5,9,14/16,1:58.3,3.4,40.3,14-16-15,514,横山武,53.0,鈴木伸,0
29,ジャイアンヴォーグ,17/2/5,東京,4,３歳,1600,曇/良,8,6,6/11,1:42.3,1.8,39.4,2-4,528,石川裕,55.0,鈴木伸,0
0,ケイツーフラン,19/10/25,川崎,4,アンドロメダ賞 Ｃ３,2000,雨/不良,11,5,10/11,2:22.3,5.4,46.7,4-5-7,456,矢野貴,54.0,加藤誠,0
1,ケイツーフラン,19/9/26,船橋☆,6, Ｃ３(二)(三),1200,晴/稍重,4,7,11/12,1:18.8,1.9,39.6,7-9-10,448,伊藤裕,54.0,加藤誠,0
2,ケイツーフラン,19/9/13,浦和,6, Ｃ３(二)(三),1400,曇/稍重,10,5,6/11,1:31.3,1.5,40.3,5-5-6,448,町田直,54.0,加藤誠,0
