,馬名,年月日,競馬場,R,レース名,距離,天候馬場,馬番,人気,着順,タイム,差/事故,上3F,コーナー通過順,体重,騎手,負担重量,調教師,獲得賞金（円）
0,ヒトノワドリーム,19/10/25,川崎☆,11,ヨコスカネイビーバーガー記念 Ｂ３(三),1500,曇/不良,5,11,9/13,1:38.4,1.4,42.0,8-7-7,445,拜原靖,56.0,田邊陽,0
1,ヒトノワドリーム,19/6/5,大井☆,10,イヴニングスター賞 Ｂ３(二),1600,晴/良,7,14,12/14,1:47.2,5.1,44.6,3-4-8,447,吉井章,54.0,中道啓,0
2,ヒトノワドリーム,19/4/26,大井☆,10,プロキオン賞 Ｂ３(二),1800,曇/稍重,5,15,16/16,2:00.6,3.9,44.6,1-1-1,446,吉井章,54.0,中道啓,0
3,ヒトノワドリーム,19/4/11,大井☆,12,北極星賞 Ｂ３(一),1600,曇/重,12,15,14/16,1:46.1,3.3,43.5,10-9-11,440,吉井章,54.0,中道啓,0
4,ヒトノワドリーム,19/3/22,大井,12,爽春賞 Ｂ３(一),1800,曇/良,6,6,12/13,1:59.5,1.7,39.9,11-11-11,438,御神訓,56.0,中道啓,0
5,ヒトノワドリーム,19/2/16,京都,4,障害４歳,2910/芝,曇/良,9,7,9/14,3:26.2,9.1,-,8-8-8,434,山本康,60.0,土田稔,0
6,ヒトノワドリーム,19/1/27,中京,5,障害４歳,3000/芝,晴/良,11,5,5/14,3:20.2,2.4,-,6-7-7,438,山本康,60.0,土田稔,"780,000"
7,ヒトノワドリーム,18/12/9,中京,4,障害３歳,3000/芝,晴/良,1,10,8/14,3:21.8,1.5,-,7-8-8,434,山本康,60.0,土田稔,0
8,ヒトノワドリーム,18/8/11,札幌,9,３歳上,1700,小雨/不良,7,8,14/14,1:46.4,2.5,40.6,3-3-7,434,横山和,57.0,土田稔,0
9,ヒトノワドリーム,18/7/15,函館,8,３歳上,1700,曇/稍重,6,7,6/10,1:47.4,0.8,38.7,5-5-4,434,横山武,55.0,土田稔,0
10,ヒトノワドリーム,18/2/13,小倉,7,４歳上,1700,曇/稍重,2,10,13/16,1:47.4,2.5,38.4,6-9-10,446,丸山元,56.0,土田稔,0
11,ヒトノワドリーム,17/12/16,中山,7,３歳上,1800,晴/良,2,7,16/16,1:56.3,2.1,39.9,1-1-2,444,和田竜,56.0,土田稔,0
12,ヒトノワドリーム,17/11/12,福島,6,３歳上,1700,曇/良,1,6,12/15,1:48.3,1.9,40.0,9-9-12,436,吉田隼,55.0,土田稔,0
13,ヒトノワドリーム,17/6/17,東京,12,３歳上,1600,晴/良,9,5,6/16,1:38.2,0.9,37.6,5-5,422,戸崎圭,54.0,土田稔,0
14,ヒトノワドリーム,17/5/28,東京,1,３歳,1600,晴/稍重,2,1,1/15,1:37.8,0.2,37.3,1-1,430,戸崎圭,56.0,土田稔,"5,000,000"
15,ヒトノワドリーム,17/5/13,東京,2,３歳,1600,雨/良,2,1,2/15,1:38.9,0.0,36.5,8-7,430,戸崎圭,56.0,土田稔,"2,000,000"
16,ヒトノワドリーム,17/4/16,中山,2,３歳,1800,晴/良,5,4,2/14,1:56.0,0.0,37.8,5-4-2,430,戸崎圭,56.0,土田稔,"2,000,000"
17,ヒトノワドリーム,17/3/25,中山,1,３歳,1800,晴/良,12,2,8/16,1:57.7,1.4,38.2,11-12-10,434,吉田豊,56.0,土田稔,0
18,ヒトノワドリーム,17/3/5,中山,1,３歳,1800,晴/稍重,8,3,4/16,1:58.2,0.8,40.4,10-11-11,436,吉田豊,56.0,土田稔,"750,000"
19,ヒトノワドリーム,17/2/5,東京,2,３歳,2100,曇/良,3,2,7/16,2:17.7,1.7,37.7,11-13-12,436,吉田豊,56.0,土田稔,0
20,ヒトノワドリーム,17/1/22,中山,3,３歳,1800,晴/良,3,4,5/16,1:57.4,0.5,39.3,14-12-9,432,吉田豊,56.0,土田稔,"500,000"
21,ヒトノワドリーム,17/1/8,中山,3,３歳,1800,曇/良,9,9,2/15,1:58.4,0.1,38.4,11-13-10,432,吉田豊,56.0,土田稔,"2,000,000"
22,ヒトノワドリーム,16/12/18,中山,2,２歳,1800,晴/稍重,4,10,3/15,1:59.2,1.1,40.2,14-14-11,432,吉田豊,55.0,土田稔,"1,300,000"
23,ヒトノワドリーム,16/11/20,東京,4,２歳,2000/芝,晴/良,15,13,11/16,2:04.2,1.5,37.0,1-1-1,432,松田大,55.0,土田稔,0
24,ヒトノワドリーム,16/10/29,東京,2,２歳,1600/芝,曇/稍重,1,17,12/18,1:37.4,1.7,35.0,17-16,432,古川吉,55.0,土田稔,0
25,ヒトノワドリーム,16/10/10,東京,5,２歳,1600/芝,曇/良,13,9,10/18,1:40.5,1.8,34.6,12-12,426,木幡巧,53.0,土田稔,0
0,ツルマルオーソ,19/10/25,川崎,2,スパーキングデビュー新馬 ２歳(七)(ロ),1400,雨/不良,4,2,5/7,1:38.3,4.0,42.9,6-6-6,475,笹川翼,55.0,内田勝,"324,000"
0,シオカゼ,19/10/25,川崎,3,スパーキングデビュー新馬 ２歳(六)(イ),1400,雨/不良,4,7,7/8,1:38.7,3.9,44.9,2-2-4,435,町田直,54.0,村田順,0
0,シントーオハナサン,19/10/25,川崎,3,スパーキングデビュー新馬 ２歳(六)(イ),1400,雨/不良,8,6,4/8,1:38.1,3.3,43.5,8-8-8,404,伊藤裕,54.0,平田正,"405,000"
0,グローリアスキメラ,19/10/25,川崎,5, ３歳(六),1400,曇/不良,6,3,2/9,1:34.4,1.2,41.2,2-3-2,454,森泰斗,54.0,高月賢,"418,000"
1,グローリアスキメラ,19/9/6,川崎,5,川崎競馬ジャズナイト記念 ３歳(六),1400,晴/稍重,9,3,5/11,1:36.0,2.6,42.4,4-4-4,447,森泰斗,54.0,高月賢,"132,000"
2,グローリアスキメラ,19/8/23,川崎,1, ３歳(五),1400,曇/稍重,9,4,9/12,1:37.1,2.7,42.9,3-5-6,449,矢野貴,54.0,高月賢,0
3,グローリアスキメラ,19/1/4,川崎,2, ３歳(八)未受賞,1400,晴/良,7,2,3/10,1:36.7,2.4,42.0,5-3-3,444,森泰斗,54.0,高月賢,"325,000"
0,エムティパレス,19/10/25,川崎,1,スパーキングデビュー新馬 ２歳(八)(ハ),1400,雨/不良,8,5,6/8,1:36.3,1.2,42.3,7-4-4,483,今野忠,55.0,山崎裕,0
0,ユウシトリン,19/10/25,川崎,5, ３歳(六),1400,曇/不良,3,9,6/9,1:36.0,2.8,42.2,6-7-7,409,酒井忍,54.0,池田孝,0
1,ユウシトリン,19/9/6,川崎☆,6,ミューザ川崎シンフォニーホール記念 ３歳(五),1400,晴/稍重,11,12,10/12,1:37.1,3.6,43.4,10-9-9,409,本田紀,54.0,池田孝,0
2,ユウシトリン,19/8/23,川崎,2, ３歳(四),1400,曇/稍重,11,12,10/12,1:35.5,3.3,42.3,11-10-10,406,本田紀,54.0,池田孝,0
3,ユウシトリン,19/8/2,川崎,2, ３歳(四),1400,晴/良,10,11,12/12,1:38.3,4.3,43.5,12-12-12,404,本田紀,54.0,池田孝,0
4,ユウシトリン,19/7/22,川崎,5, ３歳(五),1400,曇/稍重,3,9,8/9,1:38.8,5.1,43.6,9-8-8,401,本田紀,54.0,池田孝,0
5,ユウシトリン,19/7/5,川崎,2, ３歳(六),1400,曇/重,4,8,8/8,1:38.4,2.7,43.9,5-6-7,406,本田紀,54.0,池田孝,0
6,ユウシトリン,19/6/13,川崎,2, ３歳(七)(ロ),1400,晴/稍重,1,10,7/11,1:36.5,1.6,43.0,7-9-9,415,山林信,54.0,池田孝,0
7,ユウシトリン,19/5/16,川崎,1, ３歳(九),1400,晴/良,1,11,7/11,1:36.8,3.9,42.0,10-8-7,412,岡村裕,54.0,池田孝,0
8,ユウシトリン,19/4/19,船橋,2, ３歳(七),1200,晴/稍重,11,12,11/12,1:20.5,2.7,41.1,9-9-10,410,岡村裕,54.0,池田孝,0
9,ユウシトリン,19/4/4,川崎,3, ３歳(八),1400,晴/良,3,11,10/12,1:35.9,2.6,42.1,8-9-9,413,岡村裕,54.0,池田孝,0
10,ユウシトリン,19/3/13,船橋,3,旅うまリレー３月２１日高知でＪｐｎ３賞 ３歳(七),1200,曇/重,11,9,11/12,1:22.1,4.2,41.9,12-12-12,414,今野忠,54.0,池田孝,0
11,ユウシトリン,19/2/28,川崎,1, ３歳(七),1400,雨/稍重,9,8,8/12,1:36.8,1.9,42.2,11-9-8,422,笹川翼,54.0,池田孝,0
12,ユウシトリン,19/2/1,川崎,3, ３歳(七),1400,晴/稍重,10,9,5/12,1:37.8,2.3,42.5,6-6-5,420,山林信,54.0,池田孝,"156,000"
13,ユウシトリン,19/1/3,川崎,1, ３歳(七),1400,晴/良,7,7,5/7,1:37.2,1.0,41.4,6-6-5,422,山林信,54.0,池田孝,"156,000"
14,ユウシトリン,18/12/18,川崎,1, ２歳(八)(ロ),1400,晴/重,2,7,9/9,1:40.4,6.5,44.3,9-9-9,418,山林信,54.0,池田孝,0
15,ユウシトリン,18/11/29,川崎,1, ２歳(六),1400,晴/良,11,12,8/12,1:36.4,2.6,41.6,11-10-8,415,山林信,54.0,池田孝,0
16,ユウシトリン,18/11/8,船橋,3, ２歳(四),1200,晴/稍重,9,12,11/12,1:20.9,3.3,41.9,8-9-12,417,山林信,54.0,池田孝,0
17,ユウシトリン,18/10/19,川崎,3, ２歳(四),1400,曇/良,9,8,7/9,1:37.4,2.4,43.8,7-7-9,424,山林信,54.0,池田孝,0
18,ユウシトリン,18/9/14,川崎,2,スパーキングデビュー新馬 ２歳(六)(イ),1400,曇/重,3,3,5/5,1:42.8,8.2,47.9,4-5-5,427,御神訓,54.0,池田孝,"324,000"
0,ジュントップゴール,19/10/25,川崎,4,アンドロメダ賞 Ｃ３,2000,雨/不良,8,6,7/11,2:20.7,3.8,44.5,7-8-8,479,山崎誠,56.0,酒井一,0
1,ジュントップゴール,19/10/9,浦和,4,秩父メープルシロップ賞 Ｃ３(五),1500,晴/稍重,2,8,4/12,1:39.6,0.4,40.4,4-6-4,492,見越彬,56.0,酒井一,"120,000"
2,ジュントップゴール,19/9/27,船橋,2, Ｃ３四組下,1500,晴/良,8,8,4/11,1:40.5,1.0,41.3,6-6-4,486,見越彬,56.0,酒井一,"120,000"
3,ジュントップゴール,19/9/12,浦和,5, Ｃ３(四)(五),1400,晴/稍重,1,9,10/12,1:33.4,2.9,40.3,7-8-8,495,見越彬,56.0,酒井一,0
4,ジュントップゴール,19/8/19,浦和,6, Ｃ３(五)(六),1500,曇/良,10,6,9/11,1:41.0,3.5,40.2,9-9-10,498,見越彬,56.0,酒井一,0
5,ジュントップゴール,19/7/25,浦和,6, Ｃ３(五)(六)(七),1500,曇/良,5,9,6/12,1:39.3,1.8,41.3,7-6-5,503,見越彬,56.0,酒井一,0
6,ジュントップゴール,19/7/1,浦和,5, Ｃ３(二),1500,雨/重,9,7,5/10,1:40.0,3.3,41.7,5-5-6,511,見越彬,56.0,酒井一,"84,000"
7,ジュントップゴール,19/6/14,川崎☆,6,利夫と晶子・還暦＆結婚３７周年記念 Ｃ３(一)(二)(三),1400,晴/良,6,8,7/11,1:33.8,0.9,40.6,5-4-5,498,見越彬,56.0,酒井一,0
8,ジュントップゴール,19/2/1,川崎,5, Ｃ３(一)(二),1400,晴/稍重,7,5,4/12,1:34.7,0.4,41.5,5-2-2,496,見越彬,56.0,酒井一,"120,000"
9,ジュントップゴール,19/1/11,浦和,2, Ｃ３(二)(三),1400,晴/良,10,9,3/11,1:31.8,0.7,40.0,7-3-2,494,見越彬,56.0,酒井一,"160,000"
10,ジュントップゴール,18/11/15,大井☆,5, Ｃ２(十一)(十二),1600,晴/稍重,9,8,10/14,1:47.8,1.7,43.5,8-5-5,502,達城龍,56.0,的場直,0
11,ジュントップゴール,18/11/2,大井☆,8,東アジア文化都市１９豊島賞 Ｃ２(十一)(十二)(十三),1600,晴/良,7,5,3/12,1:45.9,1.5,41.7,2-2-2,503,達城龍,56.0,的場直,"250,000"
12,ジュントップゴール,18/10/12,大井☆,5, Ｃ２(十三)(十四),1600,曇/良,11,6,6/13,1:46.8,1.0,42.7,3-3-2,499,横川怜,56.0,的場直,0
13,ジュントップゴール,18/9/26,大井☆,5, Ｃ２(八)(九),1200,雨/不良,10,5,8/10,1:17.7,2.8,40.5,8-8,497,横川怜,56.0,的場直,0
14,ジュントップゴール,18/8/15,大井,6, Ｃ２(七)(八),1600,晴/良,1,3,8/8,1:48.6,4.0,43.2,3-4-4,494,横川怜,56.0,的場直,0
15,ジュントップゴール,18/8/3,大井,1,サマードリームリレーオープニング賞 Ｃ３(一)(二),1600,晴/良,4,3,3/11,1:44.7,0.3,41.4,1-1-1,508,横川怜,56.0,的場直,"200,000"
16,ジュントップゴール,18/7/12,大井,2, Ｃ３(一)(二)(三),1400,曇/良,4,3,5/13,1:29.6,1.3,39.3,6-7-7,505,森泰斗,56.0,的場直,"80,000"
17,ジュントップゴール,18/6/28,大井,7, Ｃ２(七)(八),1200,晴/良,12,4,4/13,1:15.7,0.4,39.0,3-3,508,森泰斗,56.0,的場直,"150,000"
18,ジュントップゴール,18/2/23,大井,8, Ｃ２(十)(十一)(十二),1400,曇/良,2,4,2/14,1:29.5,0.2,39.9,3-1-1,502,的場文,56.0,的場直,"440,000"
19,ジュントップゴール,18/1/25,大井,6, Ｃ２(十)(十一),1200,晴/重,10,6,8/16,1:16.6,1.3,39.5,9-9,502,真島大,56.0,的場直,0
20,ジュントップゴール,17/12/31,大井,6, Ｃ２(十二)(十三),1200,曇/良,14,2,15/16,1:18.1,1.9,39.1,14-14,504,矢野貴,56.0,的場直,0
21,ジュントップゴール,17/11/29,大井☆,4, ３歳２００万,1200,晴/稍重,10,2,2/13,1:15.9,0.2,39.1,4-3,497,矢野貴,56.0,的場直,"480,000"
22,ジュントップゴール,17/11/17,大井,3, ３歳２００万,1200,晴/良,1,2,3/11,1:15.9,0.7,39.3,4-4,502,矢野貴,56.0,的場直,"300,000"
23,ジュントップゴール,17/11/1,大井☆,9,みなと２５万人のちから賞 ３歳,1200,晴/稍重,14,3,3/16,1:15.9,0.1,38.9,6-6,496,矢野貴,56.0,的場直,"375,000"
24,ジュントップゴール,17/6/13,川崎☆,9,ジューンフラワー賞 ３歳,1400,雨/重,3,1,8/11,1:33.3,1.9,40.8,7-6-7,483,戸崎圭,56.0,森秀行,0
25,ジュントップゴール,17/5/17,川崎☆,9,メイフラワー賞 ３歳,1500,曇/稍重,2,3,5/13,1:36.8,0.2,41.2,2-3-3,484,中野省,56.0,森秀行,"250,000"
26,ジュントップゴール,17/4/5,川崎☆,9,ダイヤモンドフラワー賞 ３歳,1400,晴/稍重,10,10,2/12,1:31.6,0.1,39.2,10-3-3,479,中野省,56.0,森秀行,"875,000"
27,ジュントップゴール,17/2/12,小倉,1,３歳,1700,晴/重,14,9,16/16,1:51.0,4.9,39.9,14-16-16,480,松山弘,56.0,森秀行,0
28,ジュントップゴール,17/1/8,中山,4,３歳,1200,曇/良,12,2,11/14,1:16.9,3.0,40.5,7-9,480,戸崎圭,56.0,森秀行,0
0,クラデジャブー,19/10/25,川崎☆,8,ＪＢＣ浦和カウントダウン１０ Ｃ２(九)(十)(十一),1400,曇/不良,5,5,6/8,1:35.2,2.9,43.0,5-7-6,483,内田利,56.0,藤原智,0
1,クラデジャブー,19/10/11,浦和,4, Ｃ２(十一)(十二)(十三),1400,曇/重,11,9,5/12,1:30.7,1.1,39.3,3-3-4,489,内田利,56.0,藤原智,"100,000"
2,クラデジャブー,19/9/13,浦和,8,高知グルメでお腹いっぱい！賞 Ｃ２(九),1500,曇/稍重,7,5,7/9,1:39.6,2.1,40.2,5-6-6,489,内田利,56.0,藤原智,0
3,クラデジャブー,19/8/16,浦和,7,コバトン＆うまたせ！コラボ賞 Ｃ２(五)(六),1500,曇/良,11,8,3/11,1:39.6,1.1,41.4,5-5-3,490,内田利,56.0,藤原智,"200,000"
4,クラデジャブー,19/8/5,川崎☆,8,やまなみ五湖「津久井湖」杯 Ｃ２(二)(三)(四),1400,晴/良,6,8,6/11,1:32.8,0.6,40.2,4-4-5,482,内田利,56.0,藤原智,0
5,クラデジャブー,19/7/26,浦和,9,元気いっぱい！南区ヒマワリ賞 Ｃ２(六),1400,晴/良,5,8,3/12,1:31.3,0.2,39.7,3-3-3,487,内田利,56.0,藤原智,"200,000"
6,クラデジャブー,19/7/1,浦和,6, Ｃ２(八)Ｃ３(一),1400,雨/重,5,7,5/12,1:32.4,1.1,41.4,5-5-7,483,内田利,57.0,藤原智,"100,000"
7,クラデジャブー,19/6/21,船橋,3, Ｃ２(八)(九),1500,晴/良,12,3,8/12,1:40.1,2.0,42.5,5-4-5,486,内田利,56.0,藤原智,0
8,クラデジャブー,19/5/31,浦和,6, Ｃ２(十四),1400,曇/良,9,6,4/12,1:31.1,1.5,40.6,1-2-3,488,内田利,56.0,藤原智,"150,000"
9,クラデジャブー,19/5/3,浦和,8,バラのまち中央区賞 Ｃ２(十一)Ｃ３(一),1500,晴/良,6,1,10/12,1:39.8,1.6,40.9,4-2-4,497,内田利,57.0,藤原智,0
10,クラデジャブー,19/4/19,船橋☆,7, Ｃ２(十)十一,1500,曇/稍重,10,6,3/12,1:41.0,1.4,40.2,1-1-1,490,内田利,56.0,藤原智,"250,000"
11,クラデジャブー,19/3/28,浦和,5, Ｃ３(三)(四),1500,曇/良,3,3,1/11,1:38.3,0.2,39.6,1-1-1,493,内田利,56.0,藤原智,"800,000"
12,クラデジャブー,19/3/15,船橋,2,美深町ふるさと町民賞 Ｃ３,1600,晴/稍重,2,6,8/14,1:47.3,1.3,42.7,1-1-1,492,内田利,56.0,藤原智,0
13,クラデジャブー,19/2/14,浦和,5, Ｃ３(三)(四),1400,晴/良,9,5,6/11,1:32.4,0.8,41.3,2-2-2,495,赤津和,54.0,藤原智,0
14,クラデジャブー,19/1/31,川崎,3, Ｃ３(三)(四)(五),1400,曇/良,6,1,9/12,1:35.0,1.5,42.6,1-1-3,490,赤津和,54.0,藤原智,0
15,クラデジャブー,19/1/18,船橋,6,馬に乗り良い１年を送ろう！クレイン千葉杯 Ｃ３,1600,晴/良,4,9,6/14,1:48.4,1.4,43.3,1-1-1,488,内田利,56.5,藤原智,0
16,クラデジャブー,18/12/25,浦和,3, Ｃ３(二)(三),1400,晴/良,4,2,1/12,1:31.4,0.2,39.2,1-1-1,486,赤津和,54.0,藤原智,"800,000"
17,クラデジャブー,18/11/22,浦和,4, Ｃ３(二)(三)(四),1400,曇/稍重,10,4,8/11,1:32.3,2.2,41.5,2-2-5,480,赤津和,54.0,藤原智,0
18,クラデジャブー,18/10/24,浦和,3, Ｃ３(五)(六),1400,晴/良,3,1,1/8,1:31.3,0.2,38.7,1-1-1,480,赤津和,54.0,藤原智,"800,000"
19,クラデジャブー,18/10/17,川崎,1, Ｃ３(一)(二)(三),1400,曇/稍重,10,10,2/11,1:33.4,0.4,40.1,1-1-1,473,赤津和,54.0,藤原智,"304,000"
20,クラデジャブー,18/9/26,浦和,6, Ｃ３(七)(八),1500,曇/不良,7,8,7/12,1:41.6,1.3,41.7,5-6-6,475,赤津和,54.0,藤原智,0
21,クラデジャブー,18/9/6,浦和,1, Ｃ３(四)(五),1400,晴/稍重,8,5,8/12,1:34.1,1.5,40.8,2-4-8,479,赤津和,54.0,藤原智,0
22,クラデジャブー,18/8/6,浦和,3, Ｃ３(三)(四),1400,晴/良,9,9,9/12,1:33.4,2.2,41.7,3-6-7,473,岡田大,56.0,藤原智,0
23,クラデジャブー,18/7/17,浦和,2, Ｃ３(六)(七),1400,晴/良,9,2,9/11,1:31.9,1.1,40.9,2-2-4,466,岡田大,56.0,藤原智,0
24,クラデジャブー,18/6/26,浦和,3, Ｃ３(五)(六),1400,晴/良,9,3,2/12,1:32.1,0.6,40.6,1-1-1,464,岡田大,56.0,藤原智,"280,000"
25,クラデジャブー,18/6/13,川崎,3, Ｃ３(四)(五)(六),1400,晴/重,3,5,6/11,1:35.3,1.9,42.2,4-3-4,464,岡田大,56.0,藤原智,0
26,クラデジャブー,18/5/30,浦和,3, Ｃ３(五)(六),1400,曇/良,12,2,5/12,1:33.0,0.7,40.1,3-4-4,465,保園翔,56.0,藤原智,"84,000"
27,クラデジャブー,18/5/10,大井,2, Ｃ３(四)(五)(六),1400,晴/不良,13,3,6/13,1:31.8,0.9,40.3,5-6-6,468,保園翔,56.0,藤原智,0
28,クラデジャブー,18/4/24,浦和,3, Ｃ３(九)(十),1400,曇/良,5,3,2/12,1:31.8,0.0,39.8,1-1-1,468,保園翔,56.0,藤原智,"280,000"
29,クラデジャブー,18/4/12,船橋,3, Ｃ３(四)(五),1500,晴/良,6,7,3/9,1:39.3,0.3,41.3,2-2-1,460,保園翔,56.0,藤原智,"200,000"
30,クラデジャブー,18/3/20,浦和,2, Ｃ３(八)(九),1400,雨/重,3,4,5/12,1:33.5,1.3,42.2,2-1-3,465,保園翔,56.0,藤原智,"80,000"
31,クラデジャブー,18/3/15,船橋,1, Ｃ３(四)(五),1500,晴/稍重,2,8,5/12,1:41.3,0.9,40.3,1-1-1,462,保園翔,56.0,藤原智,"80,000"
32,クラデジャブー,18/2/14,浦和,5, Ｃ３(六)(七),1400,晴/稍重,3,1,5/12,1:34.2,0.7,41.4,2-2-3,460,保園翔,56.0,藤原智,"80,000"
33,クラデジャブー,18/1/10,浦和,4, Ｃ３(六)(七)(八),1500,晴/稍重,1,2,2/10,1:42.1,0.3,41.3,2-2-2,461,瀧川寿,56.0,藤原智,"280,000"
34,クラデジャブー,17/12/22,浦和,6,特選 Ｃ２(十二)Ｃ３(一),1500,晴/良,1,6,4/12,1:41.6,0.8,42.0,1-2-5,455,瀧川寿,55.0,藤原智,"165,000"
35,クラデジャブー,17/11/23,浦和,3, Ｃ３(二)(三),1400,雨/不良,3,6,1/12,1:33.9,0.2,42.3,2-2-1,463,瀧川寿,56.0,藤原智,"800,000"
36,クラデジャブー,17/10/27,船橋☆,5,オートレース船橋賞 Ｃ３,1500,晴/重,10,8,7/12,1:40.1,1.3,42.1,5-5-6,466,臼井健,55.0,藤原智,0
37,クラデジャブー,17/10/19,浦和,5, Ｃ３(四)(五),1400,雨/不良,9,8,7/12,1:34.1,1.5,43.0,3-3-5,470,瀧川寿,56.0,藤原智,0
38,クラデジャブー,17/9/21,浦和,5, Ｃ３(四)(五),1400,晴/稍重,3,10,7/12,1:33.5,3.2,41.1,5-6-6,469,瀧川寿,56.0,藤原智,0
39,クラデジャブー,17/8/23,川崎,3, Ｃ３(三)(四)(五),1400,晴/良,3,8,5/10,1:34.6,1.7,41.3,4-3-4,447,瀧川寿,56.0,藤原智,"96,000"
40,クラデジャブー,17/8/18,浦和,6, Ｃ３(二)(三),1400,曇/重,1,8,7/8,1:35.3,3.1,40.2,5-5-6,451,橋本直,56.0,藤原智,0
41,クラデジャブー,17/8/3,川崎,5, Ｃ３(三)(四),1500,曇/稍重,7,10,10/10,1:41.9,2.4,42.8,3-3-6,451,橋本直,56.0,藤原智,0
42,クラデジャブー,17/7/20,浦和,4, Ｃ３(二)(三),1400,晴/良,8,6,8/8,1:35.5,2.9,40.7,8-8-8,455,橋本直,56.0,藤原智,0
43,クラデジャブー,17/6/28,大井,3, Ｃ３(一)(二)(三),1600,曇/重,3,9,11/11,1:48.1,3.5,44.1,1-6-8,458,橋本直,56.0,藤原智,0
44,クラデジャブー,17/6/16,川崎,4, Ｃ３(一)(二),1500,晴/良,10,8,9/10,1:41.7,5.3,44.7,3-3-7,458,増田充,56.0,藤原智,0
45,クラデジャブー,17/6/2,浦和,6, Ｃ３(二)(三),1400,晴/良,1,7,3/11,1:31.9,0.9,40.4,3-3-2,461,橋本直,56.0,藤原智,"160,000"
46,クラデジャブー,17/5/11,大井,2, Ｃ３(三)(四),1500,晴/良,4,8,11/13,1:39.8,2.9,42.5,2-4-6,467,橋本直,57.0,藤原智,0
47,クラデジャブー,17/4/27,浦和,3, Ｃ３(四)(五)(六),1400,曇/稍重,11,4,1/12,1:32.5,0.3,40.2,1-1-1,467,橋本直,56.0,藤原智,"800,000"
48,クラデジャブー,17/4/7,川崎☆,7,川崎ジョッキーズカップ Ｃ３,1500,晴/稍重,3,3,10/14,1:39.8,1.5,43.4,2-3-3,467,山林信,56.0,藤原智,0
49,クラデジャブー,17/3/30,浦和,5, Ｃ３(四)(五),1400,晴/稍重,10,9,8/12,1:33.8,3.6,41.7,4-5-6,473,見越彬,56.0,藤原智,0
50,クラデジャブー,17/3/1,川崎,2, Ｃ３(六)(七),1400,晴/良,2,2,5/10,1:33.1,0.5,40.3,3-3-3,466,見越彬,56.0,藤原智,"80,000"
51,クラデジャブー,17/2/23,浦和,4, Ｃ３(四)(五)(六),1500,曇/稍重,8,7,12/12,1:41.3,2.7,42.2,3-6-6,466,見越彬,56.0,藤原智,0
52,クラデジャブー,17/1/31,川崎,4, Ｃ３(八)(九)(十),1500,晴/良,5,7,1/12,1:40.1,0.1,40.9,1-1-1,465,見越彬,56.0,藤原智,"800,000"
53,クラデジャブー,16/10/20,浦和,4, Ｃ３(五),1400,晴/稍重,11,5,7/11,1:32.3,2.6,41.3,2-2-3,464,保園翔,54.0,藤原智,0
54,クラデジャブー,16/9/30,船橋☆,5, Ｃ３(二)(三)(ア),1500,曇/稍重,7,11,7/12,1:39.5,0.7,40.2,5-5-7,452,見越彬,56.0,藤原智,0
55,クラデジャブー,16/9/16,浦和,5, Ｃ３(二)(三)(四),1500,曇/重,2,6,5/12,1:40.2,1.2,41.2,4-5-4,456,繁田健,56.0,藤原智,"80,000"
56,クラデジャブー,16/9/8,船橋☆,6,家のこと車のことは榊原へ　第１回榊原杯 Ｃ３(二)(三)(ア),1500,曇/重,3,9,11/12,1:41.0,3.5,42.8,1-1-3,451,繁田健,56.0,藤原智,0
57,クラデジャブー,16/8/29,浦和,7, Ｃ３(二)(三)(四),1400,晴/不良,5,4,6/11,1:31.8,2.2,40.6,4-5-4,456,橋本直,56.0,藤原智,0
58,クラデジャブー,16/8/12,浦和,5, Ｃ３(二)(三)(四),1400,晴/良,3,6,10/12,1:31.6,1.6,41.1,2-2-4,461,小杉亮,56.0,藤原智,0
59,クラデジャブー,16/7/28,川崎,5,触角宇宙人「バット星人」杯 Ｃ３(三)(四)(五),1500,晴/良,9,9,6/12,1:39.6,1.4,41.9,3-1-3,460,小杉亮,56.0,藤原智,0
60,クラデジャブー,16/7/19,浦和,7, Ｃ３(四)(五),1400,晴/稍重,6,3,7/12,1:31.7,0.5,40.6,2-4-4,466,小杉亮,56.0,藤原智,0
61,クラデジャブー,16/7/7,川崎☆,6, Ｃ３(四)(五)(六),1500,晴/良,3,6,4/10,1:39.0,1.1,41.0,3-4-3,465,小杉亮,56.0,藤原智,"96,000"
62,クラデジャブー,16/6/17,川崎,5, Ｃ３(一)(二)(三),1400,晴/稍重,9,7,2/11,1:32.8,0.8,41.4,1-1-1,464,小杉亮,56.0,藤原智,"240,000"
63,クラデジャブー,16/6/3,浦和,9,マーガレット賞 Ｃ３(一),1500,晴/良,7,5,8/11,1:39.7,1.4,41.2,4-5-4,469,繁田健,56.0,藤原智,0
64,クラデジャブー,16/5/13,川崎☆,6,大竹祥一＆滋子結婚５０周年記念 Ｃ３(一)(二),1400,晴/良,12,7,4/12,1:32.4,0.5,41.0,2-2-2,469,小杉亮,56.0,藤原智,"96,000"
65,クラデジャブー,16/4/29,浦和,3, Ｃ３(二)(三),1400,晴/稍重,4,6,5/9,1:32.3,1.1,41.0,3-4-4,470,繁田健,56.0,藤原智,"80,000"
66,クラデジャブー,16/4/1,川崎,4, Ｃ３(一)(二)(三),1500,曇/良,6,4,3/12,1:39.7,0.3,40.5,1-1-1,469,繁田健,56.0,藤原智,"144,000"
